id,routing_id/id,account_type_id/id
eng_revenue_routing_line,revenue_routing,imsar_accounting.user_type_eng_revenue
prod_revenue_routing_line,revenue_routing,imsar_accounting.user_type_product_sales
prod_lease_revenue_routing_line,revenue_routing,imsar_accounting.user_type_product_leases
,,
contract_labor_routing_line,contract_routing,imsar_accounting.user_type_labor_expense
contract_material_routing_line,contract_routing,imsar_accounting.user_type_material_expense
contract_travel_routing_line,contract_routing,imsar_accounting.user_type_travel_expense
contract_subs_routing_line,contract_routing,imsar_accounting.user_type_subcontractor_expense
contract_other_routing_line,contract_routing,l10n_us.user_type_other_expense
,,
irad_labor_routing_line,irad_routing,imsar_accounting.user_type_labor_expense
irad_material_routing_line,irad_routing,imsar_accounting.user_type_material_expense
irad_travel_routing_line,irad_routing,imsar_accounting.user_type_travel_expense
irad_subs_routing_line,irad_routing,imsar_accounting.user_type_subcontractor_expense
irad_other_routing_line,irad_routing,l10n_us.user_type_other_expense
,,
eng_dloh_labor_routing_line,eng_dloh_routing,imsar_accounting.user_type_labor_expense
eng_dloh_material_routing_line,eng_dloh_routing,imsar_accounting.user_type_material_expense
eng_dloh_travel_routing_line,eng_dloh_routing,imsar_accounting.user_type_travel_expense
eng_dloh_subs_routing_line,eng_dloh_routing,imsar_accounting.user_type_subcontractor_expense
eng_dloh_other_routing_line,eng_dloh_routing,l10n_us.user_type_other_expense
,,
comm_dloh_labor_routing_line,commercial_dloh_routing,imsar_accounting.user_type_labor_expense
comm_dloh_material_routing_line,commercial_dloh_routing,imsar_accounting.user_type_material_expense
comm_dloh_travel_routing_line,commercial_dloh_routing,imsar_accounting.user_type_travel_expense
comm_dloh_subs_routing_line,commercial_dloh_routing,imsar_accounting.user_type_subcontractor_expense
comm_dloh_other_routing_line,commercial_dloh_routing,l10n_us.user_type_other_expense
,,
depl_dloh_labor_routing_line,deployment_dloh_routing,imsar_accounting.user_type_labor_expense
depl_dloh_material_routing_line,deployment_dloh_routing,imsar_accounting.user_type_material_expense
depl_dloh_travel_routing_line,deployment_dloh_routing,imsar_accounting.user_type_travel_expense
depl_dloh_subs_routing_line,deployment_dloh_routing,imsar_accounting.user_type_subcontractor_expense
depl_dloh_other_routing_line,deployment_dloh_routing,l10n_us.user_type_other_expense
,,
mfg_dloh_labor_routing_line,mfg_dloh_routing,imsar_accounting.user_type_labor_expense
mfg_dloh_material_routing_line,mfg_dloh_routing,imsar_accounting.user_type_material_expense
mfg_dloh_travel_routing_line,mfg_dloh_routing,imsar_accounting.user_type_travel_expense
mfg_dloh_subs_routing_line,mfg_dloh_routing,imsar_accounting.user_type_subcontractor_expense
mfg_dloh_other_routing_line,mfg_dloh_routing,l10n_us.user_type_other_expense
,,
gna_labor_routing_line,gna_expenses_routing,imsar_accounting.user_type_labor_expense
gna_material_routing_line,gna_expenses_routing,imsar_accounting.user_type_material_expense
gna_travel_routing_line,gna_expenses_routing,imsar_accounting.user_type_travel_expense
gna_other_routing_line,gna_expenses_routing,l10n_us.user_type_other_expense
,,
fringe_labor_routing_line,fringe_routing,imsar_accounting.user_type_labor_expense
